"position","well","row","column","inducerId","inducerConcentration","inducerUnits","selectorId","selectorConc","selectorUnits","strain","plasmid"
1,"A1","A",1,"none",0.000000000000000,"N/A","none","0","none","none","none"
2,"B1","B",1,"none",0.000000000000000,"N/A","none","0","none","DH10B","pLigify-IemR-A"
3,"C1","C",1,"none",0.000000000000000,"N/A","none","0","none","DH10B","pLigify-IemR-B"
4,"D1","D",1,"none",0.000000000000000,"N/A","none","0","none","DH10B","pLigify-IemR-C"
5,"E1","E",1,"none",0.000000000000000,"N/A","none","0","none","DH10B","pLigify-LcLacI-A"
6,"F1","F",1,"none",0.000000000000000,"N/A","none","0","none","DH10B","pLigify-LcLacI-B"
7,"G1","G",1,"none",0.000000000000000,"N/A","none","0","none","DH10B","pLigify-LcLacI-C"
8,"H1","H",1,"none",0.000000000000000,"N/A","none","0","none","none","none"
9,"A2","A",2,"none",0.000000000000000,"N/A","none","0","none","none","none"
10,"B2","B",2,"Isoeugenol",0.097656250000000,"umol/L","none","0","none","DH10B","pLigify-IemR-A"
11,"C2","C",2,"Isoeugenol",0.097656250000000,"umol/L","none","0","none","DH10B","pLigify-IemR-B"
12,"D2","D",2,"Isoeugenol",0.097656250000000,"umol/L","none","0","none","DH10B","pLigify-IemR-C"
13,"E2","E",2,"D-Ribose",19.5312500000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-A"
14,"F2","F",2,"D-Ribose",19.5312500000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-B"
15,"G2","G",2,"D-Ribose",19.5312500000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-C"
16,"H2","H",2,"none",0.000000000000000,"N/A","none","0","none","none","none"
17,"A3","A",3,"none",0.000000000000000,"N/A","none","0","none","none","none"
18,"B3","B",3,"Isoeugenol",0.195312500000000,"umol/L","none","0","none","DH10B","pLigify-IemR-A"
19,"C3","C",3,"Isoeugenol",0.195312500000000,"umol/L","none","0","none","DH10B","pLigify-IemR-B"
20,"D3","D",3,"Isoeugenol",0.195312500000000,"umol/L","none","0","none","DH10B","pLigify-IemR-C"
21,"E3","E",3,"D-Ribose",39.0625000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-A"
22,"F3","F",3,"D-Ribose",39.0625000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-B"
23,"G3","G",3,"D-Ribose",39.0625000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-C"
24,"H3","H",3,"none",0.000000000000000,"N/A","none","0","none","none","none"
25,"A4","A",4,"none",0.000000000000000,"N/A","none","0","none","none","none"
26,"B4","B",4,"Isoeugenol",0.390625000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-A"
27,"C4","C",4,"Isoeugenol",0.390625000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-B"
28,"D4","D",4,"Isoeugenol",0.390625000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-C"
29,"E4","E",4,"D-Ribose",78.1250000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-A"
30,"F4","F",4,"D-Ribose",78.1250000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-B"
31,"G4","G",4,"D-Ribose",78.1250000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-C"
32,"H4","H",4,"none",0.000000000000000,"N/A","none","0","none","none","none"
33,"A5","A",5,"none",0.000000000000000,"N/A","none","0","none","none","none"
34,"B5","B",5,"Isoeugenol",0.781250000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-A"
35,"C5","C",5,"Isoeugenol",0.781250000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-B"
36,"D5","D",5,"Isoeugenol",0.781250000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-C"
37,"E5","E",5,"D-Ribose",156.250000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-A"
38,"F5","F",5,"D-Ribose",156.250000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-B"
39,"G5","G",5,"D-Ribose",156.250000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-C"
40,"H5","H",5,"none",0.000000000000000,"N/A","none","0","none","none","none"
41,"A6","A",6,"none",0.000000000000000,"N/A","none","0","none","none","none"
42,"B6","B",6,"Isoeugenol",1.56250000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-A"
43,"C6","C",6,"Isoeugenol",1.56250000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-B"
44,"D6","D",6,"Isoeugenol",1.56250000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-C"
45,"E6","E",6,"D-Ribose",312.500000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-A"
46,"F6","F",6,"D-Ribose",312.500000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-B"
47,"G6","G",6,"D-Ribose",312.500000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-C"
48,"H6","H",6,"none",0.000000000000000,"N/A","none","0","none","none","none"
49,"A7","A",7,"none",0.000000000000000,"N/A","none","0","none","none","none"
50,"B7","B",7,"Isoeugenol",3.12500000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-A"
51,"C7","C",7,"Isoeugenol",3.12500000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-B"
52,"D7","D",7,"Isoeugenol",3.12500000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-C"
53,"E7","E",7,"D-Ribose",625.000000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-A"
54,"F7","F",7,"D-Ribose",625.000000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-B"
55,"G7","G",7,"D-Ribose",625.000000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-C"
56,"H7","H",7,"none",0.000000000000000,"N/A","none","0","none","none","none"
57,"A8","A",8,"none",0.000000000000000,"N/A","none","0","none","none","none"
58,"B8","B",8,"Isoeugenol",6.25000000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-A"
59,"C8","C",8,"Isoeugenol",6.25000000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-B"
60,"D8","D",8,"Isoeugenol",6.25000000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-C"
61,"E8","E",8,"D-Ribose",1250.00000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-A"
62,"F8","F",8,"D-Ribose",1250.00000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-B"
63,"G8","G",8,"D-Ribose",1250.00000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-C"
64,"H8","H",8,"none",0.000000000000000,"N/A","none","0","none","none","none"
65,"A9","A",9,"none",0.000000000000000,"N/A","none","0","none","none","none"
66,"B9","B",9,"Isoeugenol",12.5000000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-A"
67,"C9","C",9,"Isoeugenol",12.5000000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-B"
68,"D9","D",9,"Isoeugenol",12.5000000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-C"
69,"E9","E",9,"D-Ribose",2500.00000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-A"
70,"F9","F",9,"D-Ribose",2500.00000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-B"
71,"G9","G",9,"D-Ribose",2500.00000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-C"
72,"H9","H",9,"none",0.000000000000000,"N/A","none","0","none","none","none"
73,"A10","A",10,"none",0.000000000000000,"N/A","none","0","none","none","none"
74,"B10","B",10,"Isoeugenol",25.0000000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-A"
75,"C10","C",10,"Isoeugenol",25.0000000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-B"
76,"D10","D",10,"Isoeugenol",25.0000000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-C"
77,"E10","E",10,"D-Ribose",5000.00000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-A"
78,"F10","F",10,"D-Ribose",5000.00000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-B"
79,"G10","G",10,"D-Ribose",5000.00000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-C"
80,"H10","H",10,"none",0.000000000000000,"N/A","none","0","none","none","none"
81,"A11","A",11,"none",0.000000000000000,"N/A","none","0","none","none","none"
82,"B11","B",11,"Isoeugenol",50.0000000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-A"
83,"C11","C",11,"Isoeugenol",50.0000000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-B"
84,"D11","D",11,"Isoeugenol",50.0000000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-C"
85,"E11","E",11,"D-Ribose",10000.0000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-A"
86,"F11","F",11,"D-Ribose",10000.0000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-B"
87,"G11","G",11,"D-Ribose",10000.0000000000,"umol/L","none","0","none","DH10B","pLigify-LcLacI-C"
88,"H11","H",11,"none",0.000000000000000,"N/A","none","0","none","none","none"
89,"A12","A",12,"none",0.000000000000000,"N/A","none","0","none","none","none"
90,"B12","B",12,"Isoeugenol",100.000000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-A"
91,"C12","C",12,"Isoeugenol",100.000000000000,"umol/L","none","0","none","DH10B","pLigify-IemR-B"
