position,well,row,column,inducerId,inducerConcentration,inducerUnits,selectorId,selectorConc,selectorUnits,strain,plasmid
2,B1,B,1,none,0,umol/L,none,0,none,DH10B,pAN-1201
3,C1,C,1,none,0,umol/L,none,0,none,DH10B,pAN-1201
4,D1,D,1,none,0,umol/L,none,0,none,DH10B,pAN-1201
10,B2,B,2,none,0,umol/L,none,0,none,DH10B,pAN-1201
11,C2,C,2,none,0,umol/L,none,0,none,DH10B,pAN-1201
12,D2,D,2,none,0,umol/L,none,0,none,DH10B,pAN-1201
18,B3,B,3,none,0,umol/L,none,0,none,DH10B,pAN-1201
19,C3,C,3,none,0,umol/L,none,0,none,DH10B,pAN-1201
20,D3,D,3,none,0,umol/L,none,0,none,DH10B,pAN-1201
26,B4,B,4,none,0,umol/L,none,0,none,DH10B,pAN-1201
27,C4,C,4,none,0,umol/L,none,0,none,DH10B,pAN-1201
28,D4,D,4,none,0,umol/L,none,0,none,DH10B,pAN-1201
34,B5,B,5,none,0,umol/L,none,0,none,DH10B,pAN-1201
35,C5,C,5,none,0,umol/L,none,0,none,DH10B,pAN-1201
36,D5,D,5,none,0,umol/L,none,0,none,DH10B,pAN-1201
42,B6,B,6,none,0,umol/L,none,0,none,DH10B,pAN-1201
43,C6,C,6,none,0,umol/L,none,0,none,DH10B,pAN-1201
44,D6,D,6,none,0,umol/L,none,0,none,DH10B,pAN-1201
50,B7,B,7,none,0,umol/L,none,0,none,DH10B,pAN-1201
51,C7,C,7,none,0,umol/L,none,0,none,DH10B,pAN-1201
52,D7,D,7,none,0,umol/L,none,0,none,DH10B,pAN-1201
58,B8,B,8,none,0,umol/L,none,0,none,DH10B,pAN-1201
59,C8,C,8,none,0,umol/L,none,0,none,DH10B,pAN-1201
60,D8,D,8,none,0,umol/L,none,0,none,DH10B,pAN-1201
66,B9,B,9,none,0,umol/L,none,0,none,DH10B,pAN-1201
67,C9,C,9,none,0,umol/L,none,0,none,DH10B,pAN-1201
68,D9,D,9,none,0,umol/L,none,0,none,DH10B,pAN-1201
74,B10,B,10,none,0,umol/L,none,0,none,DH10B,pAN-1201
75,C10,C,10,none,0,umol/L,none,0,none,DH10B,pAN-1201
76,D10,D,10,none,0,umol/L,none,0,none,DH10B,pAN-1201
82,B11,B,11,none,0,umol/L,none,0,none,DH10B,pAN-1201
83,C11,C,11,none,0,umol/L,none,0,none,DH10B,pAN-1201
84,D11,D,11,none,0,umol/L,none,0,none,DH10B,pAN-1201
90,B12,B,12,none,0,umol/L,none,0,none,DH10B,pAN-1201
91,C12,C,12,none,0,umol/L,none,0,none,DH10B,pAN-1201
92,D12,D,12,none,0,umol/L,none,0,none,DH10B,pAN-1201
